FBManagerSaveFile
1,1,B,0,0,0,-1,0
2,2,C,0,0,0,-1,0
3,3,B,0,0,0,-1,0
4,4,A,0,0,0,-1,0
5,5,D,0,0,0,-1,0
6,6,B,0,0,0,-1,0
7,7,A,0,0,0,-1,0
8,8,A,0,0,0,-1,0
9,9,D,0,0,0,-1,0
10,10,C,0,0,0,-1,0
11,11,C,0,0,0,-1,0
12,12,D,0,0,0,-1,0
Matches
1,1,4,7,0,0,0
2,2,4,8,0,0,0
3,3,7,4,0,0,0
4,4,7,8,0,0,0
5,5,8,4,0,0,0
6,6,8,7,0,0,0
7,1,1,3,0,0,0
8,2,1,6,0,0,0
9,3,3,1,0,0,0
10,4,3,6,0,0,0
11,5,6,1,0,0,0
12,6,6,3,0,0,0
13,1,2,10,0,0,0
14,2,2,11,0,0,0
15,3,10,2,0,0,0
16,4,10,11,0,0,0
17,5,11,2,0,0,0
18,6,11,10,0,0,0
19,1,5,9,0,0,0
20,2,5,12,0,0,0
21,3,9,5,0,0,0
22,4,9,12,0,0,0
23,5,12,5,0,0,0
24,6,12,9,0,0,0
