FBManagerSaveFile
1,CAL,C,0,0,0,1,0
2,HAL,B,0,0,0,1,0
3,DAL,B,0,0,0,2,0
4,EAS,D,0,0,0,1,0
5,CLG,C,0,0,0,2,0
6,TEA,A,3,2,2,1,1
7,DAS,B,0,0,0,3,0
8,XZC,A,0,-2,0,2,1
9,ASD,D,0,0,0,2,0
10,MLG,A,0,0,0,3,0
11,BLA,C,0,0,0,3,0
12,WAL,D,0,0,0,3,0
Matches
1,1,6,8,0,0,1
2,2,6,10,0,0,0
3,3,8,6,0,0,0
4,4,8,10,0,0,0
5,5,10,6,0,0,0
6,6,10,8,0,0,0
7,1,2,3,0,0,0
8,2,2,7,0,0,0
9,3,3,2,0,0,0
10,4,3,7,0,0,0
11,5,7,2,0,0,0
12,6,7,3,0,0,0
13,1,1,5,0,0,0
14,2,1,11,0,0,0
15,3,5,1,0,0,0
16,4,5,11,0,0,0
17,5,11,1,0,0,0
18,6,11,5,0,0,0
19,1,4,9,0,0,0
20,2,4,12,0,0,0
21,3,9,4,0,0,0
22,4,9,12,0,0,0
23,5,12,4,0,0,0
24,6,12,9,0,0,0
