FBManagerSaveFile
1,The Endzone Stingers,A,9,3,7,1,4
2,Giant Cloud Feeders,D,6,0,0,1,6
3,White Drug Finish,B,4,-4,9,1,4
4,Ravaged Bean Gunners,C,6,-2,8,1,6
5,Humble Pastel Orphans,D,6,0,0,2,6
6,The Black Termites,D,6,0,0,3,6
7,Yellow Werewolves,A,0,-8,0,2,4
8,Large Bombers,B,3,-19,10,2,4
9,The Uniform Roosters,D,6,0,0,4,6
10,Junk World Greenbacks,B,10,23,25,3,4
11,Tall Basilisks,C,13,4,12,2,6
12,Copperhead Nova Grinders,C,6,-3,8,3,6
13,Distinguished Presidents,C,10,1,9,4,6
14,Small Freedom Titans,A,9,5,8,3,4
Matches
1,1,1,7,2,0,1
2,2,1,14,3,0,1
3,3,7,1,0,2,1
4,4,7,14,0,2,1
5,5,14,1,4,0,1
6,6,14,7,2,0,1
7,1,3,8,7,0,1
8,2,3,10,2,2,1
9,3,8,3,10,0,1
10,4,8,10,0,21,1
11,5,10,3,1,0,1
12,6,10,8,1,0,1
13,1,4,11,2,5,1
14,1,12,13,5,0,1
15,2,11,12,2,0,1
16,2,13,4,2,0,1
17,3,4,12,5,0,1
18,3,11,13,2,5,1
19,4,12,11,1,2,1
20,4,4,13,1,0,1
21,5,11,4,1,0,1
22,5,13,12,2,0,1
23,6,12,4,2,0,1
24,6,13,11,0,0,1
25,1,2,5,0,0,1
26,1,6,9,0,0,1
27,2,5,6,0,0,1
28,2,9,2,0,0,1
29,3,2,6,0,0,1
30,3,5,9,0,0,1
31,4,6,5,0,0,1
32,4,2,9,0,0,1
33,5,5,2,0,0,1
34,5,9,6,0,0,1
35,6,6,2,0,0,1
36,6,9,5,0,0,1
49,1,1,11,0,0,0
50,1,3,5,0,0,0
51,1,4,7,0,0,0
52,1,2,8,0,0,0
